Year,State,District,Reg.No,Donor_s_no,Donor_Name,Donor_type,Donor_Address,Purpose,Amount (INR)
2017-2018,Delhi,Delhi,231650066,1,Church of the Nazarene r t s i,Institutional,"Global Ministry Center17001 Prairie Star ParkwayLenexa, KS 66220Phone: 913- 577-0500 , United States of America, Email Id: , Website Address : http://nazarene.org",Religious,377258.37
2017-2018,Delhi,Delhi,231660911,1,SUPREME TASK INTERNATIONAL r INC t,Institutional,"P.O.BOX-490245, LAWRENCEVILLE, G.A -30049 , United States of America, Email Id: , Website Address :",Social,16897306
2017-2018,Delhi,Delhi,231661753,1,Datin Sri Loo Chooi Ting,Individual,"Malaysia , Malaysia, Email Id: , Website Address :",Cultural,5225887
2017-2018,Delhi,Delhi,231661753,2,Thoe Teck Yen,Individual,"Singapore , Singapore, Email Id: , Website Address :",Cultural,5147650
2017-2018,Delhi,Delhi,231661753,3,Sakya Rigdzin Ling Foundation,Institutional,"Hongkong , Hong Kong, Email Id: , Website Address :",Cultural,5690906
2017-2018,Delhi,Delhi,231660617,1,CARMINE J IADAROLA r t s,Institutional,"4100e, MISSISSIPAI AVE, SUTTE 500, GIENDALE, CO 80246 , United States of America, Email Id: CARMINE@AQUAS AN.BIZ, Website Address :",Educational,1283758
2017-2018,Delhi,Delhi,231650502,1,Charities Aid Foundation India r t s,Institutional,"Plot/Site No. 2, First Floor, Sector C(OFC Pocket), Nelson Mandela Marg, Vasant Kunj New Delhi 110070 , India, Email Id: , Website Address :",Social,958480
2017-2018,Delhi,Delhi,231650502,2,i n Charities Aid Foundation India i M,Institutional,"Plot/Site No. 2, First Floor, Sector C(OFC Pocket), Nelson Mandela Marg, Vasant Kunj New Delhi 110070 , India, Email Id: , Website Address :",Educational,4983600
2017-2018,Delhi,Delhi,231650502,3,Charities Aid Foundation India,Institutional,"Plot/Site No. 2, First Floor, Sector C(OFC Pocket), Nelson Mandela Marg, Vasant Kunj New Delhi 110070 , India, Email Id: , Website Address :",Social,745437
2017-2018,Delhi,Delhi,231650502,4,JAPAN WATER FORUM,Institutional,"6th Floor 5-4 Nihonbashi-Hakozaki- cho,Chuo- ku,Tokyo,JAPAN 103- 0015 , Japan, Email Id: , Website Address :",Social,1227324
2017-2018,Delhi,Delhi,231650502,5,COCA COLA INDIA FOUNDATION,Institutional,"13 Abul Fazal Road,Bengali Market , New Delhi-110001 , India, Email Id: , Website Address :",Social,12256231
2017-2018,Delhi,Delhi,231650502,6,PETER UND LUISE HAGER STIFTUNG,Institutional,"PETER UND LUISE HAGER STIFTUNG,IM HOFGARTEN,66131, SAARBRUCKEN,GE RMANY, , Germany , Email Id: , Website Address :",Educational,2788285
2017-2018,Delhi,Delhi,231660680,1,Saakshar School Appeal r t s,Institutional,"119 Eaton Square London SW1W 9AL , United Kingdom, Email Id: , Website Address : http://www.saaksharsc hoolappeal.uk",Educational,2953614
2017-2018,Delhi,Delhi,231650630,1,THE PROVINCIAL SOCIETY OF THE r CONGREGATION OF JESUS AND MAtRY s i n,Institutional,"PROVINCIAL HOUSE, CONVENT OF JESUS AND MARY, 5, BOAT CLUB ROAD, PUNE 411001, MAHARASHTRA , India, Email Id: jmphpune@gmail.com, Website Address :",Educational,104500
2017-2018,Delhi,Delhi,231660817,1,THE HANS FOUNDATION r t,Institutional,"C-301 3RD FLOOR ANSAL PLAZA ANDREWS GANJ NEW DELHI , India, Email Id: , Website Address :",Educational,3391459
2017-2018,Delhi,Delhi,231660817,2,s i NASSCOM n FOUNDATON i,Institutional,"A-1-125 SAFDARJUNG ENCLAVE NEW DELHI-110029 , India, Email Id: , Website Address :",Educational,750000
2017-2018,Delhi,Delhi,231660817,3,M ALAN STANBURY,Individual,"17 LYTTELTON ROAD, DROITWICH WORCESTERSHIRE WR97AA UK , United Kingdom, Email Id: , Website Address :",Educational,41449
2017-2018,Delhi,Delhi,231660817,4,GLOBAL GIVING FOUNDATION,Institutional,"1110 VERMONT AVE,NW SUITE 550 WASHINGTON DC 20005 , United States of America, Email Id: , Website Address :",Educational,360267
2017-2018,Delhi,Delhi,231650741,1,GLOBAL COUNTRY OF WORLD PEACE r t s,Institutional,"1900, CAPITAL BOULEWARD, MAHARISHI VEDIC CITY, IA52556 , United States of America, Email Id: , Website Address :",Educational,385419
2017-2018,Delhi,Delhi,231660327,1,THE FREESCHOOLS WORLD LITERACY CHARITY,Institutional,"4-115, FIRST ST SUITE 428 CITY - COLLINGWOOD PROVINCE/ STATE - ON , Canada, Email Id: , Website Address :",Educational,555409
2017-2018,Delhi,Delhi,231661506,1,Give Foundation,Individual,"PO Box 50876 Palo Alto, California CA, United States- 94303 , United States of America, Email Id: info@giveindia.org , Website Address : http://www.giveind ia.org",Educational,49675.67
2017-2018,Delhi,Delhi,231661506,2,CHANCE FOUNDATION,Institutional,"CHANCE Foundation P.O. Box 46466 Plymouth, MN 55446 , United States of America, Email Id: ChanceFoundation OfMN@gmail.com , Website Address : http://www.chancef orthem.org",Educational,1791339.41
2017-2018,Delhi,Delhi,231660164,1,Oak Foundation r t s,Institutional,"Oak Foundation Denmark Kronprinsessegade 34 st 1306 Kobenhavn K Denmark , Denmark, Email Id: , Website Address :",Social,746586
2017-2018,Delhi,Delhi,231661169,1,THE FORD FOUNDATION r t,Institutional,"320 EAST 43RD STREET NEW YORK, N.Y. 10017 USA , United States of America, Email Id: , Website Address :",Social,7683406.75
2017-2018,Delhi,Delhi,231661169,2,s i MISEREOR n i,Institutional,"POSTFACH 10 15 45 52015 AACHEN DEUTSCHLAND , Germany , Email Id: , Website Address :",Social,4693520
2017-2018,Delhi,Delhi,231661680,1,MANISH MALHOTRA r t,Individual,"SPRING 3, STREET 3, VILLA 33 EMIRITES HILLS, DUBAI , United Arab Emirates, Email Id: , Website Address :",Educational,61972
2017-2018,Delhi,Delhi,231661715,1,Susan Sillins r t s,Individual,"102,west 85th st.,apartment 11 B,New York NY 10024 USA , United States of America, Email Id: susansillins@gmail.co m, Website Address :",Social,187743
2017-2018,Delhi,Delhi,231661715,2,i n Buddhist Global Relief i M,Institutional,"2020 Route 301 Carmel, NY 10512 , United States of America, Email Id: info@buddhistglobalrel ief.org, Website Address : http://www.buddhistglo balrelief.org",Social,1404737
2017-2018,Delhi,Delhi,231661730,1,Rythm Foundation Limited r t s i,Institutional,"Unit - L, 27/F, MG Tower, 133Hoi Bun Road, Kwun Tong, Kowloon East, Hong kong , Hong Kong, Email Id: jayamalar.s@rythmfou nation.org, Website Address :",Educational,4024246
2017-2018,Delhi,Delhi,231650912,1,Holistic Approach for Peoples Empowerment r t s,Institutional,"106, MGR Nagar, 100 Feet Road, Puducherry- 605004 (India) , India, Email Id: hopeindia1996@gmail. com, Website Address : http://vrhope.org",Educational,300000
2017-2018,Delhi,Delhi,231650912,2,i n Urgent Action Fund for Womens Human i Rights M,Institutional,"660, 13th Street, Ste 200, Oakland, CA 94612, USA , United States of America, Email Id: proposals@urgentactio nfund.org, Website Address : http://www.urgentactio nfund.org",Educational,320050
2017-2018,Delhi,Delhi,231650912,3,Unitarian Universalist Association,Institutional,"24, Farnsworth Street, Boston, Massachusetts 02210, USA , United States of America, Email Id: dmitchell@uua.org, Website Address : http://www.uua.org",Educational,350917
2017-2018,Delhi,Delhi,231650912,4,The Fund for Global Human Rights,Institutional,"1301, Connecticut Avenue NW, Suite 400, Washington, DC20036, USA , United States of America, Email Id: southasia@globalhuma nrights.org, Website Address : http://www.globalhuma nrights.org",Educational,316589
2017-2018,Delhi,Delhi,231650912,5,Bischofliches Hilfswerk MISEREOR e.V.,Institutional,"Mozartstr.9, 52064 Aachen , Germany , Email Id: postmaster@misereor.d e, Website Address : http://www.misereor.de",Educational,378810
2017-2018,Delhi,Delhi,231650912,6,The Tides Foundation,Institutional,"1012, Torney Ave., San Gracisco, CA 94129 , United States of America, Email Id: grants@tides.org, Website Address : http://www.tides.org",Educational,646175
2017-2018,Delhi,Delhi,231650912,7,Brot fur die Welt Evangelischer Entwicklungsdienst,Institutional,"Caroline-Michaelis-Str. 1, 10115 Berlin , Germany , Email Id: asien@brot-fuer-die- welt.de, Website Address : http://www.brot-fuer- die-welt.de",Educational,10820165
2017-2018,Delhi,Delhi,231650734,1,Centre for Catalyzing Change r,Institutional,"C-1 Hauz Khas New Delhi , India, Email Id: , Website Address : http://www.c3india.org",Social,150000
2017-2018,Delhi,Delhi,231660235,1,The Hongkong and Shanghai Banking r Corporation Limited t s,Institutional,"52/60 Mahatma Gandhi Road Fort, Mumbai - 400 001 , India, Email Id: gayatri.divecha@hsbc. co.in, Website Address :",Social,3047000
2017-2018,Delhi,Delhi,231660235,2,i n Water.org i,Institutional,"35/4 Nurjv Complex, 2nd Floor, TSD Nagar, Arumbakkam Chennai , India, Email Id: , Website Address :",Social,250000
2017-2018,Delhi,Delhi,231660235,3,M WATER ORG INC,Institutional,"2405 GRAND BLVD STE 860 KANSAS CITY, MO 641082537 US , United States of America, Email Id: mgulati@water.org, Website Address : https://water.org",Social,1653540
2017-2018,Delhi,Delhi,231660416,1,CBM r,Institutional,"NIBELUMGENSTRA BE,BESSHEIM , Germany , Email Id: , Website Address :",Social,1966357
2017-2018,Delhi,Delhi,231660797,1,John Wurr Dr. Elizabeth r t s,Individual,"14500, Fruitvale Avenue,Apt. 4206,Saratoga, CA 95070 USA , United States of America, Email Id: wurr@comcast.net, Website Address :",Educational,41382
2017-2018,Delhi,Delhi,231660797,2,i n Dietrich Schaaf i Conservation Fund M,Institutional,"7613 Elmwood Avenue, Middleton, WI 53562 USA , United States of America, Email Id: Schaafconservation@g mail.com, Website Address : http://www.schaafcons ervation.org",Social,839778
2017-2018,Delhi,Delhi,231650010,1,HELPAGE INDIA r t s,Institutional,"C-14, QUTAB INSTITUTIONAL AREA NEW DELHI - 110016, INDIA , India, Email Id: , Website Address :",Social,9163294
2017-2018,Delhi,Delhi,231650010,2,i n UNITED WAY OF MUMBAI i M,Institutional,"309 NIRMAN KENDRA FAMOUS STOUDIO LANE DR. E. MOSES ROAD MAHALAXMI ESTATE MUMBAI- 400013 , India, Email Id: , Website Address :",Social,1648984
2017-2018,Delhi,Delhi,231650010,3,THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED,Institutional,"52/60 MAHATMA GANDHI ROAD FORT  MUMBAI 400001, INDIA , India, Email Id: , Website Address :",Social,34255800
2017-2018,Delhi,Delhi,231650010,4,THE HANS FOUNDATION,Institutional,"C-301, 302 , 303 -3RD FLOOR , ANSAL PLAZA , HUDCO PLACE, ANDREWS GANJ, NEW DELHI- 110049, INDIA , India, Email Id: , Website Address :",Social,16754391
