Registration Number,Association Name,State,Cancellation Type,Cancellation Year
115260019,Christian Primary School,Punjab,On Violation,2019
147040533,West End High School,West Bengal,On Violation,2019
147000204,West Bengal Provincial Social Forum,West Bengal,On Violation,2019
147040019,Vivekananda Jana Seva Kendra,West Bengal,On Violation,2019
146920013,Vivekananda Adivasi Kalyan Samiti,West Bengal,On Violation,2019
147040519,Viswa Vedic Yogashram,West Bengal,On Violation,2019
147111132,UTTAR JAGTALA JEEVANTARI WELFARE SOCIETY,West Bengal,On Violation,2019
146930068,UNIVERSAL EDUCATION AND WELFARE TRUST,West Bengal,On Violation,2019
147110505,Ulupota Vivekananda Ukti Sevashram,West Bengal,On Violation,2019
147111008,TILOTTAMA WELFARE SOCIETY,West Bengal,On Violation,2019
147050002,The Roman Catholic Church Monigram,West Bengal,On Violation,2019
147060023,The Roman Catholic Church,West Bengal,On Violation,2019
147120486,The Association Of Salesian Cooperators,West Bengal,On Violation,2019
147120138,Tangra Children,West Bengal,On Violation,2019
147040629,Tamralipta Pratick Welfare Mission,West Bengal,On Violation,2019
147110222,Sundarban Ramakrishna Seva Ashram,West Bengal,On Violation,2019
147110678,Sundarban Christ Rural Development Society,West Bengal,On Violation,2019
147110858,SULTANPUR GANDHI MISSION,West Bengal,On Violation,2019
147121039,SUBHADRA MEMORIAL TRUST,West Bengal,On Violation,2019
147020038,St. Joseph's Convent Bhaktinagar Educational Society.New Jalpaiguri,West Bengal,On Violation,2019
147060017,St John's Hostel,West Bengal,On Violation,2019
147110636,Sri Sri Harichand Matua Sevashram,West Bengal,On Violation,2019
147040048,Sram Vidyapith,West Bengal,On Violation,2019
147120211,Song Of Unity And Liberty,West Bengal,On Violation,2019
146920003,Socio Economic & Rural Development Society,West Bengal,On Violation,2019
147000131,Singhty Janakalyan Samity,West Bengal,On Violation,2019
146980075,Siliguri Nazrul Sarani Rural Community and Child Development,West Bengal,On Violation,2019
146980121,SILIGURI HUMAN CARE WELFARE SOCIETY,West Bengal,On Violation,2019
147110534,Searight Hospital & Welfare Society,West Bengal,On Violation,2019
147120595,School Of Human Genetics And Population Health,West Bengal,On Violation,2019
147000119,Sarvik Vivekananda Gram Seva Sanstha,West Bengal,On Violation,2019
147110605,Sarberia Mozzaddedia Etimkhana,West Bengal,On Violation,2019
147110791,Santoshnagar Tamanna,West Bengal,On Violation,2019
147070046,SANTIBAN RURAL INNOVATION AND SUPPORTING VOCATIONAL INSTITUTE,West Bengal,On Violation,2019
147111066,SANKAR VEDANTA MATH O MISSION TRUST,West Bengal,On Violation,2019
147120531,Samsia Rural Health & Economic Development Society,West Bengal,On Violation,2019
146980028,Salesian College Childrens Aid,West Bengal,On Violation,2019
147040631,S HAKIMUDDIN EDUCATIONAL AND WELFARE TRUST,West Bengal,On Violation,2019
147110539,Rural Development Centre,West Bengal,On Violation,2019
147000258,Rounak C C S D I,West Bengal,On Violation,2019
146980103,Reach Himalayas Society,West Bengal,On Violation,2019
147120795,RDCRC Welfare Trust,West Bengal,On Violation,2019
