State,Reg No,Association,Address,Nature
Andaman & Nicobar Islands,240020023,SRI KRISHNA BRAHMATANTRA PARAKALASWAMY TRUST,"Sri Hayagreevam, 1272, Ganganachumbi Double Road Kuvempunagar, Mysore, 570023",Religious(Hindu)
Andaman & Nicobar Islands,240020024,Jan Chetna Evam Samajothan Samiti,"Ghazipur Uttar Pradesh, Dharni Tehsil Zamania, 232336","Cultural ,Economic ,Educational ,Social "
Andaman & Nicobar Islands,240020025,The Kunphen,"D-41, New Tibetan Camp Majnu Ka Tilla, Delhi, 110006","Cultural ,Educational ,Social "
Andhra Pradesh,10120004,Grama Vikas,"14-39-1, Bukkapatnaam Road, Tadpatri, Dist: Anantapur-515411","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120046,Young India Project,"Penukonda , Anantpur Dist-515110","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120051,Cultural Action in Rural Development,"Pamidi , Anantpur Dist-515775",Social 
Andhra Pradesh,10120073,Socio Economic Education Development Society,"D.No.15/451 Kamala Nagar, Anantpur -515001","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120074,Peoples Development Centre,", Anantpur Dist-","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120081,Sri Sathya Sai Medical Trust,"Prasanthi Nilayam , Anantpur Dist-",Social 
Andhra Pradesh,10120083,Stree Sanghshema Trust,"Rampuram Vill Penukonda Tq., P.B.No.2 Anantpur-515110",Social 
Andhra Pradesh,10120109,Rural Education Growth Society,"D.No.13-11-16 Boyapeta, Hindupur, Anantapur -","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120114,Jhansi Mahila Mandali,"D.No. 6-655-206/A, Maruthi Nagar, Anantapur-515001","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120115,Pragathi Integrated Rural Development Society,"75, Veerapuram, Rayadurg PO, Anantapur-515865",Social 
Andhra Pradesh,10120117,Jupiter Educational Society,"Utakur Post. Parigi Mandal, Anantapur-515261","Economic ,Educational ,Social "
Andhra Pradesh,10120130,Mother India,"Gorantala , Dist. Anantapur -515231",Social 
Andhra Pradesh,10120143,Asha Kiran Rural Educational Development Society,"D.No.15-3-16, Main Bazar, Near Venkateswara Swamy Temple, Hindupur, 515201","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120150,Devi Mahila Mandali,"Door no.16/489, Yellamma Temple, Street, Old Town, Anantapur-515001","Educational ,Social "
Andhra Pradesh,10120158,Rohini Education Society,"D.NO. -17-1-14, R.P.G.T. Road, Hindupur, Anantapur-515201","Educational ,Social "
Andhra Pradesh,10120175,Madeena Arabic Educational Rural Developmental Society,"Pedapalli (Village), Via-Gorantala, Ananthapur.-515321","Educational ,"
Andhra Pradesh,10120186,Bilal Rural and Artisan Development Organisation,"26-4-863/3, near Srinivasa Talkies, Hindupur, Anantapur-515201","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120195,Anantha Paryavarana Parirakshana Samithi,"# 13-724-39A, Khajanagar, Anantapur-515001","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120201,Rural Urban Society for Health Education and Ecology (RUSHEE),"D. No. 28-3-540, Sri Sai Sadan, 1st Main, Sarada Nagar-","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120205,Doctor's Andhra Kesava Seetha Public Charitable and Educational Trust,"D. No. 15/451-C, Kamalanagar, Anantapur-515001","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120232,Sri Swarupa Nistha Ashrama Philosophical Welfare Society,"D No.3-174, Mamillakuntlapalli, Obula Devara Cheruvu Mandal-515561","Cultural ,Economic ,Educational ,Social "
Andhra Pradesh,10120240,Mittapalli Youth Association,"D.No.4/67, Puleru Road, Gornatla - 515 231-515231","Economic ,Educational ,Social "
Andhra Pradesh,10120244,Abhyudaya Integrated Rural Development Society,"D.No.8-1465, Kamban Chetla Veddhi, Kalyandurg, Anantapur-515867","Cultural ,Economic ,Educational ,Social "
