State,Year,File No.,Association Name,Address,Nature
Delhi,2019,2018005732,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005731,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005746,Public Health Foundation of India,"Unit No. 316, 3rd Floor, Rectangle -1 Building, Plot No. D-4, District Centre Saket NEW DELHI Delhi 23 110017","Educational ,Social"
Delhi,2019,2018005745,Public Health Foundation of India,"Unit No. 316, 3rd Floor, Rectangle -1 Building, Plot No. D-4, District Centre Saket NEW DELHI Delhi 23 110017","Educational ,Social"
Delhi,2019,2018005744,Public Health Foundation of India,"Unit No. 316, 3rd Floor, Rectangle -1 Building, Plot No. D-4, District Centre Saket NEW DELHI Delhi 23 110017","Educational ,Social"
Delhi,2019,2018005743,Public Health Foundation of India,"Unit No. 316, 3rd Floor, Rectangle -1 Building, Plot No. D-4, District Centre Saket NEW DELHI Delhi 23 110017","Educational ,Social"
Delhi,2019,2018010801,Civil Society Academy,"B5/155,SECOND FLOOR, SAFDURJUNG ENCLAVE NEW DELHI Delhi 23 110029","Educational ,Social"
Delhi,2019,2018015401,FOSTER AND FORGE FOUNDATION,Flat No 549 Type2 Mount Kailash Apartment East of Kailash NEW DELHI Delhi 23 110065,Educational
Delhi,2019,2018012201,SHRI SOHAN LAL CHARITABLE TRUST,"4/8, 2ND FLOOR, ASAF ALI ROAD DELHI Delhi 23 110002","Educational ,Social"
Delhi,2019,2018005739,Public Health Foundation of India,"Unit No. 316, 3rd Floor, Rectangle -1 Building, Plot No. D-4, District Centre Saket NEW DELHI Delhi 23 110017","Educational ,Social"
Delhi,2019,2018005737,Public Health Foundation of India,"Unit No. 316, 3rd Floor, Rectangle -1 Building, Plot No. D-4, District Centre Saket NEW DELHI Delhi 23 110017","Educational ,Social"
Delhi,2019,2018005735,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005729,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005728,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005727,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005726,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005725,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005724,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005723,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005722,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005721,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005720,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005717,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005716,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005715,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005714,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005713,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005710,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005708,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005718,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005736,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005738,Public Health Foundation of India,"Unit No. 316, 3rd Floor, Rectangle -1 Building, Plot No. D-4, District Centre Saket NEW DELHI Delhi 23 110017","Educational ,Social"
Delhi,2019,2018005740,Public Health Foundation of India,"Unit No. 316, 3rd Floor, Rectangle -1 Building, Plot No. D-4, District Centre Saket NEW DELHI Delhi 23 110017","Educational ,Social"
Delhi,2019,2018005712,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005705,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005707,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005701,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005702,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005706,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005711,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018005709,Public Health Foundation of India,"ISID Complex, 4 Institutional Area, Vasant Kunj NEW DELHI Delhi 23 110070","Educational ,Social"
Delhi,2019,2018008401,Reimagining Higher Education Foundation,"302, Gopal Heights, Netaji Subhash Place New Delhi Delhi 23 110034",Educational
Delhi,2019,2017015901,ROSHNI,"152, Golf Links New Delhi Delhi 23 110003",Educational
Delhi,2019,2018008501,JARUL TRUST,"HOUSE NO 122, GROUND FLOOR, ARJUN NAGAR, SAFDARJUNG ENCLAVE NEW DELHI Delhi 23 110029",Social
Gujarat,2019,2019005001,HARI ANAND TRUST,21 A BAKUL PARK SOCIETY OPP SAHYOG VATIKA GORWA VADODARA Vadodara/Baroda 04 390016,"Educational ,Social"
Gujarat,2019,2018010902,THE AHMEDABAD DISTRICT PROBATION AND AFTER CARE ASSOCIATION AHMEDABAD,"NR CAMA HOTEL, KHANPUR AHMEDABAD Ahmedabad 04 380001",Social
Gujarat,2019,2018014801,WAJRA O FORCE EMPOWERMENT FOUNDATION,"OFFICE NO.87, 8TH FLOOR, WHITEHOUSE, NEAR PANCHWATI CIRCLE, ELLISBRIDGE AHMEDABAD Ahmedabad 04 380006","Cultural ,Economic ,Educational ,Social"
